id;acctno;name;address;address_2;city;state;zip;phone;i_type;etin;del_status;created_by;last_modified_by;created_date;last_modified_date
21;FLM43;FL MEDICAID;;;;;;;;;false;system;system;now();now()
22;06177;OXFORD HEALTH PLA;;;;;;;;;false;system;system;now();now()
23;38256;PRIORITY HEALTH;PO BOX 232 ;;GRAND RAPIDS;MI;49501;;;;false;system;system;now();now()
24;23374;QUALCARE;PO BOX 249; ;PISCATAWAY;NJ;08855;;;;false;system;system;now();now()
25;SWE23;STAYWELL;PO BOX 31372; ;TAMPA;FL;33631;;;;false;system;system;now();now()
26;95233;SUMMACARE HEALTH;PO BOX 3620; ;AKRON;OH;44309;;;;false;system;system;now();now()
27;87770;UBH METRAHEALTH;21150 BISCAYNE BLVD; ;MIAMI;FL;33180;;;;false;system;system;now();now()
28;65078;UNICARE;PO BOX 9016; ;ANDOVER;MA;01810-091;;;;false;system;system;now();now()
29;74003;USAA;PO BOX 5000; ;DAPHNE;AL;36526;;;;false;system;system;now();now()
30;UHC90;UHC OF CO;PO BOX 740800; ;ATLANTA;GA;30374;;;;false;system;system;now();now()
31;99964;TRICARE;PO BOX 7031;;CAMDEN;SC;29020;;;;false;system;system;now();now()
32;WEL41;WELLCARE;PO BOX 31372; ;TAMPA;FL;33631;;;;false;system;system;now();now()
33;CO000;CORESOURCE;P O BOX 1195;;MINNEAPOLIS;MN;55440;;;;false;system;system;now();now()
34;GR000;GREAT WEST HEALTHCARE;P O BOX 11111; ;FT SCOTT;KS;66701;;;;false;system;system;now();now()
35;PH000;PHCS;P O BOX 44109;;LAS VEGAS;NV;89116;;;;false;system;system;now();now()
36;ST000;STATE FARM INSURANCE COMPANIES  GROUP MEDICAL;PO BOX 2700;;BLOOMINGTON;IL;61702;;;;false;system;system;now();now()
37;CC000;CCMSI;PO BOX 1430;;DANVILLE;IL;618341430;;;;false;system;system;now();now()
38;CH000;CHAMPVA;PO BOX 65024;;DENVER;CO;802069024;;;;false;system;system;now();now()
39;NH000;NHP;PO BOX 025680;;MIAMI;FL;331025680;;;;false;system;system;now();now()
40;PL000;PLUMBERS AND PIPEFITTERS LOCAL UNION NO.630;PO BOX 5190;;TAMPA;FL;336755190;;;;false;system;system;now();now()
41;TU000;TUFTS HEALTH PLAN;PO BOX 9185; ;WATERTOWN;MA;24719185;;;;false;system;system;now();now()
42;GH001;GHI;PO BOX 3000; ;NEW YORK;NY;10116;;;;false;system;system;now();now()
43;SE002;SEDGWICK/CMS;PO BOX 14515;;LEXINGTON;KY;40512;;;;false;system;system;now();now()
44;UN005;UNITED HEALTH CARE;PO BOX 740800; ;ATLANTA;GA;30374;;;;false;system;system;now();now()
45;BL000;BLUE CROSS BLUE SHIELD;400 RIVERCHASE PARKWAY E;;BIRMINGHAM;AL;35244;;;;false;system;system;now();now()
46;PR005;PREFERRED CARE PARTNERS;PO BOX 565790; ;MIAMI;FL;33256;;;;false;system;system;now();now()
47;AE000;AETNA;PO BOX 14079; ;LEXINGTON;KY;40512-407;;;;false;system;system;now();now()
48;CI000;CIGNA;PO BOX 182223; ;CHATTANOOGA;TN;37422;;;;false;system;system;now();now()
49;BL001;BLUE CROSS AND BLUE SHIELD;PO BOX 1798; ;JACKSONVILLE;FL;32231;;;;false;system;system;now();now()
50;ME000;MET LIFE INSURANCE AUTO;PO BOX 30018;;TAMPA;FL;30018;;;;false;system;system;now();now()
51;CH002;CHUBB HEALTH INSURANCE;PO BOX  4700;;CHESAPEAKE;VA;23327;;;;false;system;system;now();now()
52;EM001;EMBLEM HEALTH;PO BOX 2832;;NEW YORK;NY;10116;;;;false;system;system;now();now()
53;MA000;MAGNACARE;PO BOX 1001; ;GARDEN CITY;NY;11530;;;;false;system;system;now();now()
54;TH005;THE EMPIRE PLAN;;;;  ;;;;;false;system;system;now();now()
55;TP000;WEB TPA;PO BOX 1928; ;GRAPEVINE;TX;76099;;;;false;system;system;now();now()
56;CO008;COVENTRY HEALTH CARE OF FLORIDA;PO BOX 7807; ;LONDON;KY;40742;;;;false;system;system;now();now()
57;UN013;UNITED HEALTHCARE;PO-BOX-31354;;SALT LAKE CITY;UT;841310354;;;;false;system;system;now();now()
58;UM000;UMR;PO BOX 30530; ;SALT LAKE CITY;UT;841300530;;;;false;system;system;now();now()
59;OX000;OXFORD HEALTH;PO BOX 29130; ;HOT SPRINGS;AR;71903;;;;false;system;system;now();now()
60;SU000;SUNSHINE STATE HC;PO Box 3070; ;Farmington;MO;63640;;;;false;system;system;now();now()
61;MO000;MOLINA;PO BOX 22719;;LONG BEACH;CA;90801;;;;false;system;system;now();now()
62;VA000;VALUE OPTIONS ;ATTN CLAIMS;PO BOX 1830;LATHAN;NY;12110;;;;false;system;system;now();now()
63;AM002;AMERIHEALTH;720 BLAIR RD.; ;HORSHAM;PA;19044;;;;false;system;system;now();now()
64;CO010;COVENTRY HEALTHCARE;PO BOX 8400; ;LONDON;KY;40742;;;;false;system;system;now();now()
65;BC001;BCBS / FEDERAL;PO BOX 660044; ;DALLAS;TX;752660044;;;;false;system;system;now();now()
66;ME004;MEDICAL MUTUAL OF OHIO;PO BOX 6018;;CLEVELAND;OH;44101;;;;false;system;system;now();now()
67;CA005;CAREPLUS HEALTH PLANS;11430 NW 20 ST  STE 300; ;DORAL;FL;33172;;;;false;system;system;now();now()
68;HH000;HEALTH PARTNERS;PO BOX 1289; ;MINNEAPOLIS;MN;55440;;;;false;system;system;now();now()
69;TH007;THE HARTFORD;PO BOX 14170;;LEXINGTON;KY;40512;;;;false;system;system;now();now()
70;AA000;AARP;PO BOX 31362; ;SALT LAKE CITY;UT;84131;;;;false;system;system;now();now()
71;FR000;FREEDOM LIFE INS CO;PO BOX 1468; ;ARLINGTON;TX;76004;;;;false;system;system;now();now()
72;CO012;COMPSYCH;PO BOX 8379; ;CHICAGO;IL;60680;;;;false;system;system;now();now()
73;CI003;CIGNA OPEN ACCESS;PO Box 182223; ;CHATTANOOGA;TN;37422;;;;false;system;system;now();now()
74;AS000;ASSURANT HEALTH;PO Box 3050; ;MILWAULKEE;WI;53203;;;;false;system;system;now();now()
75;ME005;MERITAIN/AETNA;PO BOX 27267; ;MINNEAPOLIS;MN;55427;;;;false;system;system;now();now()
76;AM003;AMERIGROUP;PO BOX 61010; ;VIRGINIA BEACH;VA;23466;;;;false;system;system;now();now()
77;AM005;AMERIBEN;PO BOX 7186;;BOSIE;ID;83707;;;;false;system;system;now();now()
78;ME007;MEDICA HEALTH PLANS;PO BOX 145330;;CORAL GABLES;FL;33114;;;;false;system;system;now();now()
79;AP000;APWU HEALTH PLAN;PO BOX  1358;;GLEN BURNIE;MD;21060;;;;false;system;system;now();now()
80;libe;LIBERTY MUTUAL;PO BOX 7203; ;LONDON;KY;40742;;;;false;system;system;now();now()
81;BU001;BUNCH AND ASSOC WORKERS COMP;3500 REYNOLDS RD;;LAKELAND;FL;33802;;;;false;system;system;now();now()
82;AL004;ALLIED BENEFIT SYS;PO BOX 909786;;CHICAGO;IL;60690;;;;false;system;system;now();now()
83;mail;MAIL HANDELERS BENEFIT;PO BOX 8402;;LONDON;KY;40742;;;;false;system;system;now();now()
84;AI000;AIG;PO BOX 1822; ;ALPHARETTA;GA;30023;;;;false;system;system;now();now()
85;RA000;RAILROAD MEDICARE;PO BOX 10066; ;AUGUSTA;GA;30999;;;;false;system;system;now();now()
86;SI000;SIMPLY HEALTH CARE;PO BOX 21535;;EAGAN;MN;55121;;;;false;system;system;now();now()
87;HO003;HORIZON;PO BOX 5172; ;COLUMBIA;MD;21045;;;;false;system;system;now();now()
88;HE015;HEALTH AMERICA;PO BOX 7802; ;LONDON;KY;40742;;;;false;system;system;now();now()
89;SI001;SIMPLY COMPLETE HMO;P.O. BOX 21535; ;EAGAN;MN;55121;;;;false;system;system;now();now()
90;BL002;BLUE CROSS BLUE SHIELD NJ;PO BOX 1798; ;JACKSONVILLE;FL;32231;;;;false;system;system;now();now()
91;MH000;MH NET;PO Box 7802;;LONDON;KY;40742;;;;false;system;system;now();now()
92;UN023;UNITED HEALTH INTERGRATED PPO;PO BOX 30783; ;SALT LAKE CITY;UT;84130;;;;false;system;system;now();now()
93;HO005;HORIZON BCBS;PO BOX 1798; ;JACKSONVILLE;FL;32231;;;;false;system;system;now();now()
94;UH000;UHC OXFORD;;;;  ;;;;;false;system;system;now();now()
95;AN001;ANTHEM BC/BS;P.O. BOX 1798;;JACKSONVILLE;FL;322310014;;;;false;system;system;now();now()
96;JO000;JOHN HOPKINS HEALTHCARE CLASSIC PLAN;JOHN HOPKINS 6704 CURTIS CT;;GLEN BURNIE;MD;;;;;false;system;system;now();now()
97;OX001;OXFORD UBH;;;;  ;;;;;false;system;system;now();now()
98;BL003;BLUE CROSS BLUE PLAN PPO;PO BOX 1798; ;JACKSONVILLE;FL;32231;;;;false;system;system;now();now()
99;MA010;MAGELLAN MEDICAID;PO BOX 2097; ;MARYLAND HEIGHTS;MO;63043;;;;false;system;system;now();now()
100;HI001;HIGHMARK BCBS;LOCAL;;;  ;;;;;false;system;system;now();now()
101;BL004;BLUE CROSS;PO BOX 1798; ;JACKSONVILLE;FL;32231;;;;false;system;system;now();now()
102;SO004;SOUTH FLORIDA COMMUNITY CARE;P O BOX 21128; ;FT LAUDERDALE;FL;33335;;;;false;system;system;now();now()
103;FL003;FLORIDA BLUE;PO BOX 1798;;JACKSONVILLE;FL;32231;;;;false;system;system;now();now()
104;VO000;VO;;;;  ;;;;;false;system;system;now();now()
105;AU000;AUXIANT HEALTH PARTNER;225 Second Street SE Suite 50; ;Cedar Rapids;IA;52401;;;;false;system;system;now();now()
106;EM006;EMPIRE PLAN UBH;PO BOX 1600; ;KINGSTON;NY;12402;;;;false;system;system;now();now()
107;UH005;UHC EMPIRE PLAN CARVED OPTUM HEALTH;PO BOX 5190;;KIGSTON;NY;30500;;;;false;system;system;now();now()
108;UB003;UBH;PO BOX 30555; ;SALT LAKE CITY;UT;841300555;;;;false;system;system;now();now()
109;HE017;HEALTHSUN;PO BOX 660143;;DALLAS;TX;75266;;;;false;system;system;now();now()
110;NO003;NO INSURANCE/ VERIFIED;;;;  ;;;;;false;system;system;now();now()
111;SU001;SUMMIT;PO BOX 459014;;SUNRISE;FL;33345;;;;false;system;system;now();now()
112;UH006;UHC;PO BOX 740800; ;ATLANTA;GA;30374;;;;false;system;system;now();now()
113;BC004;BCBS;PO BOX 1798; ;JACKSONVILLE;FL;32231;;;;false;system;system;now();now()
114;OX006;OXFORD;PO BOX 29130;;HOT SPRINGS;AR;71903;;;;false;system;system;now();now()
115;MA011;MAGELLAN;PO BOX 2097; ;MARYLAND HEIGHTS;MO;63043;;;;false;system;system;now();now()
116;ME015;MEDICAL MUTUAL PPO;PO BOX 6018; ;CLEVELAND;OH;44101;;;;false;system;system;now();now()
117;IN008;INDEPENDENCE BLUE CROSS;;;;  ;;;;;false;system;system;now();now()
118;CA009;CAREFIRST BCBS;PO BOX 14116; ;LEXINGTON;KY;40612;;;;false;system;system;now();now()
119;ME018;MEDBEN;PO BOX 1129; ;NEWARK;OH;43058;;;;false;system;system;now();now()
120;EM007;EMPIRE;;;;  ;;;;;false;system;system;now();now()
121;AU001;AULTCARE;PO BOX 6910;;CANTON;OH;44706;;;;false;system;system;now();now()
122;BE012;BEACON HEALTH STRATEGIES;PO BOX 9185; ;WATERTOWN;MA;2471;;;;false;system;system;now();now()
123;AL005;LBA HEALTH PLAN;PO BOX 981801; ;EL PASO;TX;79998;;;;false;system;system;now();now()
124;BE013;BEST CHOICE PLUS;PO BOX 21128; ;FT LAUDERDALE;FL;33335;;;;false;system;system;now();now()
125;FR001;FREEDOM HEALTH PLAN MCR;P O BOX 151348; ;TAMPA;FL;33684;;;;false;system;system;now();now()
126;EM008;EMPIRE BCBS;PO BOX 1798; ;JACKSONVILLE;FL;32231;;;;false;system;system;now();now()
127;AA001;AARP MEDICARE COMPLETE;PO BOX 31362; ;SALT LAKE CITY;UT;84131;;;;false;system;system;now();now()
128;DE001;DEPARTMENT OF LABOR;PO BOX 8300; ;LONDON;KY;40742;;;;false;system;system;now();now()
129;SE004;SECURE HORIZONS;P.O. BOX 31361;;SALT LAKE CITY;UT;84131;;;;false;system;system;now();now()
130;CO024;COMP ONE;725 BOARDMAN CANFIELD RD SUITE A3; ;BOARDMAN;OH;483754451;;;;false;system;system;now();now()
131;HA002;HARTFORD- WORKERS COMP;PO BOX 31001; ;TAMPA;FL;33631;;;;false;system;system;now();now()
132;BR001;BROADSPIRE;PO BOX 14645; ;LEXINGTON;KY;40512;;;;false;system;system;now();now()
133;ON001;ONE BEACON INSURANCE;PO BOX 302; ;BUFFALO;NY;14240;;;;false;system;system;now();now()
134;SP001;SPECIALTY RISK SVS- WORKERS COMP;PO BOX 14522; ;LEXINGTON;KY;40512;;;;false;system;system;now();now()
135;FC000;FCCI WORKERS COMP;PO BOX 58004; ;SARASOTA;FL;34232;;;;false;system;system;now();now()
136;TR000;TRAVELERS- WORKERS COMP;PO BOX 3570; ;BRANDON;FL;33509-980;;;;false;system;system;now();now()
137;GA001;GALLAGHER BASSETT- WORKERS COMP;PO BOX 23812; ;TUCSON;AZ;85734;;;;false;system;system;now();now()
138;UH008;UHC AARP MEDICARE COMPLETE;PO BOX 31362;;SALT LAKE;UT;84131;;;;false;system;system;now();now()
139;EM009;EMPIRE/UHC;;;;;;;;;false;system;system;now();now()
140;OX007;OXFORD UHC;;;;  ;;;;;false;system;system;now();now()
141;AM007;AMERISYS;PO BOX 160729; ;ALTAMONTE SPRING;FL;32716;;;;false;system;system;now();now()
142;CO025;CORVEL;3001 NE BROADWAY STREET; #610; ;MINNEAPOLIS;MN;55413-265;;;false;system;system;now();now()
143;CO026;COMPMANAGEMENT HEALTH SYSTEM;PO BOX 1040; ;DUBLIN;OH;43017;;;;false;system;system;now();now()
144;SU003;SUMMIT CLAIMS CENTER;PO BOX 2928; ;LAKELAND;FL;33806;;;;false;system;system;now();now()
145;HA003;HARTFORT;PO BOX 14187; ;LEXINGTON;KY;40512;;;;false;system;system;now();now()
146;HE023;HEALTH SMART;PO BOX 2451; ;CHARLESTON;WV;25329;;;;false;system;system;now();now()
147;HO010;HORIZON CASUALTY SERVICES;PO BOX 10175;;NEWARK;NJ;07101;;;;false;system;system;now();now()
148;BC006;BCBS ANTHEM;;;;  ;;;;;false;system;system;now();now()
149;HA004;HANOVER INS GROUP;PO BOX 15144; ;WORCESTER;MA;01615;;;;false;system;system;now();now()
150;AL007;ALLSTATE INS CO.;PO BOX 12055 1919 ELECTRIC RD; ;ROANKE;VA;24018;;;;false;system;system;now();now()
151;AD003;ADVENTIST HEALTH SYSTEMS;900 HOPE WAY; ;ALTIMA SPRING;FL;32714;;;;false;system;system;now();now()
152;SE005;SEDWICK INS;PO BOX 14152;;LEXINGTON;KY;40512;;;;false;system;system;now();now()
153;AL008;ALLSTATE INS;PO BOX 2874; ;CLINTON;IA;52733;;;;false;system;system;now();now()
154;PR012;PRESTIGE HEALTH CARE;PO BOX 6018; ;HAUPPAUGE;NY;11788;;;;false;system;system;now();now()
155;HE024;HEALTH SCOPE;PO BOX 99005; ;LUBBOCK;TX;79490;;;;false;system;system;now();now()
156;HA005;HARVARD PILGRIM HEALTH CARE;;;;  ;;;;;false;system;system;now();now()
157;MA014;MASS HEALTH;PO BOX 9152;;CANTON;MA;02021;;;;false;system;system;now();now()
158;NO006;NORTH AMERICAN RISK;PO BOX 166002; ;ALTAMONTE SPRINGS;FL;32716;;;;false;system;system;now();now()
159;ZU000;ZURICH NORTH AMERICAN CLAIMS (W/C);P O BOX 968023; ;SCHAUMBURG;IL;60196;;;;false;system;system;now();now()
160;MV001;MVP HEALTH CARE;PO BOX 2207; ;SCHENECTADY;NY;12301;;;;false;system;system;now();now()
161;SE006;SEDGEWICK;PO BOX 14434; ;LEXINGTON;KY;40512;;;;false;system;system;now();now()
162;ES001;ESIS TAMPA;PO BOX 6560; ;SCRATON;PA;18505;;;;false;system;system;now();now()
163;US002;USIS;PO BOX 616648; ;ORLANDO;FL;32861;;;;false;system;system;now();now()
164;GE003;GEICO;202 354 5295;;;;;;;;false;system;system;now();now()
165;SE007;SEDGWICK ;PO BOX 14565; ;LEXINGTON;KY;40512;;;;false;system;system;now();now()
166;CA012;CAREWORKS;PO BOX 182726; ;COLUMBUS;OH;43218;;;;false;system;system;now();now()
167;RI001;RISK ENTERPRISE;PO BOX 8020;;TALLAHASSEE;FL;32314;;;;false;system;system;now();now()
168;OP003;OPTIMUM HLTH CARE HMO;PO BOX 151258; ;TAMPA;FL;33684;;;;false;system;system;now();now()
169;JO001;JOHNS EASTERN CO- WOREKERS COMP;PO BOX 110279; ;LAKEWOOD RANCH;FL;34211;;;;false;system;system;now();now()
170;MV002;MVP;PO BOX 2207;;SCHENECTADY;FL;12301;;;;false;system;system;now();now()
171;10613;STATE FARM AUTO INS;PO BOX 106135;;ATLANTA;GA;30348;;;;false;system;system;now();now()
172;31307;DIRECT GENERAL INSURANCE;PO Box 31307;;TAMPA;FL;33631;;;;false;system;system;now();now()
173;48909;AUTO OWNERS INS;PO BOX 13409;;TALLAHASSEE;FL;32317;;;;false;system;system;now();now()
174;PMA01;PMA COMPANY- WORKERS COMP;P.O. Box 5231 ;;JANESVILLE;WI;53547;;;;false;system;system;now();now()
175;PRO01;PROGRESSIVE INS;901 NORTH LAKE DESTENY RD;;MAYTLAND;FL;32751;;;;false;system;system;now();now()
176;40742;US DEPARTMENT OF LABOR;PO BOX 8300;;LONDON;KY;40742;;;;false;system;system;now();now()
177;33134;PREFERRED MEDICAL PLAN;4950 SW 8th Street;;CORAL GABLES;FL;33124;;;;false;system;system;now();now()
178;52733;ALLSTATE PIP MEDPAY;4443 LYONS ROAD SUITE 2018;;COCONUT CREEK;FL;33073;;;;false;system;system;now();now()
179;12180;TRIAD GROUP WC;185 JORDAN RD;;TROY;NY;12180;;;;false;system;system;now();now()
180;31208;GEICO AUTO;PO BOX 9091;;MACON;FL;32108;;;;false;system;system;now();now()
181;33802;PUBLIX RISK MANAGEMENT;PO BOX 8020;;TALLAHASSEE;FL;32314;;;;false;system;system;now();now()
182;33684;FREEDOM HEALTH;;;;;;;;;false;system;system;now();now()
183;71903;GOLDEN RULE- UHC;;;;;;;;;false;system;system;now();now()
184;37422;CIGNA/NALC;P.O. Box 182223;;Chattanooga;TN;37422;;;;false;system;system;now();now()
185;32724;RISK MANAGEMENT PLANNING GRP;PO BOX 508;;MINEOLA;NY;11501;;;;false;system;system;now();now()
186;A3280;TRAVELERS;PO BOX 8924;;MELVILLE ;NY;11747;;;;false;system;system;now();now()
187;A3259;USAA LIFE INSURANCE COMPANY;PO BOX 5000;;DAPHNE;AL;36526;;;;false;system;system;now();now()
188;52100;UHC/NHP;PO BOX 5210;;KINGSTON;NY;12402;;;;false;system;system;now();now()
189;A1710;HEALTH FIRST HEALTH PLANS;PO BOX 219612; ;KANSAS CITY;MO;64121;;;;false;system;system;now();now()
190;B2014;NALC;;;;;;;;;false;system;system;now();now()
191;B1850;ESIS;PO BOX 6560;;SCRANTON;PA;18505;;;;false;system;system;now();now()
192;B8525;PREMIER HEALTH;;;;;;;;;false;system;system;now();now()
193;HU004;HUMANA-HU004;PO BOX 14601; ;LEXINGTON;KY;40512;;;;false;system;system;now();now()
194;UN006;UNITEDHEALTHCARE;PO BOX 7082; ;BRIDGOPORT;CT;6601;;;;false;system;system;now();now()
195;GO000;GOLDEN RULE INS-GO000;7440 WOODLAND DRIVE; ;INDIANAPOLIS;IN;46278;;;;false;system;system;now();now()
196;UN016;UNITED HEALTH CARE - SALT LAKE CITY;PO BOX 30555; ;SALT LAKE CITY;UT;841300555;;;;false;system;system;now();now()
197;QU002;QUALCARE-QU002;P O BOX 820;;PISCATAWAY;NJ;8855;;;;false;system;system;now();now()
198;R8574;CAREPLUS;PO BOX 31286;;TAMPA;FL;33631;;;;false;system;system;now();now()
199;99635;FIRST HEALTH- SEMINOLE TRIBE OF FL- INETICO;PO BOX 173129;;TAMPA;FL;33672;;;;false;system;system;now();now()
200;64786;WORKERS COMP OF AMERICA;PO BOX 160729;;ALTONTE;;32716;;;;false;system;system;now();now()
201;84131;ALL SAVERS INSURANCE;PO BOX 31375;;SALT LAKE CITY;UT;84131;;;;false;system;system;now();now()
202;S3570;ST PAUL TRAVELERS- WC;PO BOX 3570;;BRANDON;FL;33509;;;;false;system;system;now();now()
203;JKI56;CONNCETICARE  INSURANCE;PO BOX 546;;FARMINGTON;CT;06034;;;;false;system;system;now();now()
204;L5S62;PROVIDENCE HEALTH;PO BOX 3125;;PORTLAND;OR;97208;;;;false;system;system;now();now()
205;DFGE1;ZENITH WC;PO BOX 1558;;SARASOTA;FL;34230;;;;false;system;system;now();now()
206;155J5;WC- NEW JERSEY MANUFACTURERS INC;301 SULLIVAN WAY;;WEST TRENTON;NJ;08628;;;;false;system;system;now();now()
207;95F45;OCEAN HARBOR- AUTO; P.O. Box 452799;;SUNRISE;FL;33345;;;;false;system;system;now();now()
208;I001651;FMH CORESOURCE;PO BOX 25985;;OVERLAND PARKS;KS;662255946;;;;false;system;system;now();now()
209;I001688;SIMPLYHEALTHCARE;;;;;;;;;false;system;system;now();now()
210;I001690;TEAMCARE BCBS;PO BOX 1798;;JACKSONVILLE;FL;32231;;;;false;system;system;now();now()
211;I001691;KENTUCKY HEALTH COOPERATIVE MH NET;PO BOX 7802;;LONDON;KY;40742;;;;false;system;system;now();now()
212;I001695;PROGRESSIVE AUTO INSURANCE;7406 FULLERTON STREET;;JACKSONVILLE;FL;32256;;;;false;system;system;now();now()
213;I001697;BUNCH ASSOCIATES LLC;PO BOX 32045;;LAKELAND;FL;33802;;;;false;system;system;now();now()
214;I001698;FIRST COMP;PO BOX 3009;;OMAHA;NE;68103;;;;false;system;system;now();now()
215;I001699;NEW YORK STATE INS FUND;225 OAK ST;;BUFFALO;NY;14203;;;;false;system;system;now();now()
216;I001700;NSA COMP;14 LAFAYETTE SQUARE #700;;BUFFLO;NY;14203;;;;false;system;system;now();now()
217;I001702;HUMANA MEDICAID MANAGED CARE PLAN;;;;;;;;;false;system;system;now();now()
218;I001703;LIFEWELL;PO BOX 2920;;CLINTON;IA;52733;;;;false;system;system;now();now()
219;I001704;POPULYTICS;PO BOX 1830;;ALLENTOWN;PA;18105;;;;false;system;system;now();now()
220;I001706;CDPHP UNIVERSAL BENEFITS;PO BOX 66602;;ALBANY;NY;12006;;;;false;system;system;now();now()
221;I001708;M & P HEALTH AND BENEFITS;5700 HAMMONDS FERRY ROAD;;LINTHICUM HEIGHTS;MD;;;;;false;system;system;now();now()
222;I001710;MASSACHUSSETTS INS INSOL FUND;ONE BOWDOIN SQUARE;;BOSTON;MA;02114;;;;false;system;system;now();now()
223;I001712;WORKLINK;7737 SOUTHWEST FREEWAY SUITE C-99;;HOUSTON;TX;77074;;;;false;system;system;now();now()
224;I001714;LIBERTY MUTUAL GROUP;PO BOX 40742;;LONDON;KY;40742;;;;false;system;system;now();now()
225;I001715;WINDHAVEN AUTO;8550 NW 33rd St; Suite 300;;Doral;FL;33122;;;false;system;system;now();now()
226;I001716;AIM MUTUAL INSURANCE;PO BOX 4070;;BURLINGTON;MA;01803;;;;false;system;system;now();now()
227;I001717;SENTRY INSURANCE;PO BO 23260;;RICHMOND;VA;23260;;;;false;system;system;now();now()
228;I001719;CURTIN MURPHY;31 ST JAMES AVE ;;BOSTON;MA;02116;;;;false;system;system;now();now()
229;I001722;ACE AMERICA INSURANCE;PO BOX 6560;;SCRANTON;PA;18505;;;;false;system;system;now();now()
230;I001724;FMH SELECT HMO;PO BOX 25946;;Overland Park;KS;662255946;;;;false;system;system;now();now()
231;I001725;MERCURY INSURANCE;1901 ULMERTON RD;;CLEARWATER;FL;33762;;;;false;system;system;now();now()
232;I001726;FIRST ACCEPTANCE- AUTO;PO BOX 150769;;NASHVILLE;TN;15076;;;;false;system;system;now();now()
233;I001728;AAA MICHIGAN;PO BOX 2946;;CLINTON;IA;52733;;;;false;system;system;now();now()
234;I001729;APS HEALTHCARE;PO BOX 99;;LINTHICUM;MD;21090;;;;false;system;system;now();now()
235;I001730;SIERRA HEALTH/ HEALTH PLAN OF NV;PO BOX 15645;;LAS VEGAS;NV;89115;;;;false;system;system;now();now()
236;I001731;CORVEL MC;PO BOX 23127;;TAMPA;FL;33623;;;;false;system;system;now();now()
237;I001733;INFINITY INSURANCE- AUTO;PO BOX 830807;;Birmingham;AL;35283;;;;false;system;system;now();now()
238;I001735;WEGMANS;PO BOX 30844;;POCHESTER;NY;14603;;;;false;system;system;now();now()
239;I001737;SPEC FUNDS CONSERV COM BUF;PO BOX 5304;;BINGHAMTON;NY;13902;;;;false;system;system;now();now()
240;I001742;SECOND INJURY FUND;55 ELM STREET;;HARTMAN;CT;06106;;;;false;system;system;now();now()
241;I001744;STATE FARM;PO BOX 106140;;ATLANTA;GA;30348;;;;false;system;system;now();now()
242;I001745;MAIL STAFF MITCHELL  ESURANCCE 135680;PO BOX 2869;;CLINTON;IA;52733;;;;false;system;system;now();now()
243;I001746;INSURANCE ADMINISTRATOR OF AMERICA;;;;;;;;;false;system;system;now();now()
244;I001748;NCAS;3928 PENDER Drive  Ste. 100;;FAIRFAX;VA;22030;;;;false;system;system;now();now()
245;I001749;CHP- CIGNA;;;;;;;;;false;system;system;now();now()
246;I001754;T.H.E. INSURANCE;10451 GULF BLVD;;TREASURE ISLAND;FL;33706;;;;false;system;system;now();now()
247;I001763;MCS LIFE;PO BOX 9023547;;SAN JUAN;PR;00902;;;;false;system;system;now();now()
