id;code;description;units;specimen;status;del_status;created_by;created_date;last_modified_by;last_modified_date
33;37060;Vision-oriented;Milimmiter;Fundamental;ACT;false;system;2016-07-27 17:53:05;;2016-06-04 11:43:39
34;64393;framework;Centimmeter;Re-engineered;ACT;false;system;2016-08-17 14:11:01;;2016-01-28 23:55:03
35;5954;projection;Litter;logistical;ACT;false;system;2016-06-02 19:56:59;;2016-09-25 15:26:29
36;V1259;hierarchy;Gallons;optimal;ACT;false;system;2016-09-15 10:50:03;;2016-03-24 03:32:43
37;01665;utilisation;Milimmiter;user-facing;ACT;false;system;2016-04-15 02:10:35;;2016-08-08 00:05:04
38;2550;Operative;Centimmeter;encryption;ACT;false;system;2016-12-12 02:38:51;;2016-01-18 01:04:29
39;9646;heuristic;Litter;forecast;ACT;false;system;2016-03-22 23:05:29;;2016-04-06 21:34:03
40;9058;Pre-emptive;Gallons;Face to face;ACT;false;system;2016-12-23 01:17:43;;2016-02-22 07:56:47
41;20800;demand-driven;Milimmiter;Fundamental;ACT;false;system;2016-10-20 10:56:48;;2016-10-22 03:56:35
42;01186;Synergized;Centimmeter;Pre-emptive;ACT;false;system;2016-11-07 10:24:36;;2016-12-18 19:01:22
43;36351;maximized;Litter;clear-thinking;ACT;false;system;2016-02-07 07:54:23;;2017-01-01 12:26:28
44;29544;Stand-alone;Gallons;client-driven;ACT;false;system;2016-01-13 10:09:15;;2016-06-16 00:04:31
45;6163;workforce;Milimmiter;Operative;ACT;false;system;2016-11-22 15:35:44;;2016-10-21 05:13:51
46;V664;next generation;Centimmeter;Intuitive;ACT;false;system;2016-10-10 12:08:33;;2016-02-11 03:09:44
47;01185;Ergonomic;Litter;contextually-based;ACT;false;system;2016-01-08 21:14:06;;2016-09-02 10:13:27
48;37741;synergy;Gallons;zero defect;ACT;false;system;2016-02-18 11:11:43;;2016-01-25 13:53:31
49;75010;Persistent;Milimmiter;analyzing;ACT;false;system;2016-03-04 10:26:06;;2016-09-22 19:52:26
50;71839;contingency;Centimmeter;regional;ACT;false;system;2016-03-26 23:03:25;;2016-06-17 08:10:27
51;71648;info-mediaries;Litter;Extended;ACT;false;system;2016-08-06 22:33:34;;2016-03-27 06:07:55
52;0093;Persistent;Gallons;Optimized;ACT;false;system;2016-12-20 05:10:19;;2016-07-01 15:04:50
53;37420;Cross-group;Milimmiter;tangible;ACT;false;system;2016-03-30 12:03:24;;2016-07-03 23:27:20
54;7842;incremental;Centimmeter;approach;ACT;false;system;2016-12-28 17:09:49;;2016-04-01 23:45:56
55;71613;Fundamental;Litter;solution-oriented;ACT;false;system;2016-11-04 09:15:55;;2016-11-16 06:19:58
56;0823;Business-focused;Gallons;zero defect;ACT;false;system;2016-05-15 08:59:01;;2016-12-21 16:56:20
57;78461;instruction set;Milimmiter;Grass-roots;ACT;false;system;2016-10-29 14:55:39;;2016-03-11 06:44:09
58;5202;Managed;Centimmeter;logistical;ACT;false;system;2016-04-13 12:54:40;;2016-09-25 10:56:07
59;9197;asynchronous;Litter;empowering;ACT;false;system;2016-05-06 09:37:35;;2016-12-29 05:29:25
60;1223;background;Gallons;emulation;ACT;false;system;2016-06-26 14:01:58;;2016-02-29 01:43:55
61;E9083;data-warehouse;Milimmiter;Ameliorated;ACT;false;system;2016-02-11 11:22:38;;2016-08-07 07:37:33
62;94212;dynamic;Centimmeter;moratorium;ACT;false;system;2016-03-27 17:18:39;;2016-09-18 13:40:36
63;87361;Programmable;Litter;secondary;ACT;false;system;2016-10-03 07:39:31;;2016-01-30 07:28:26
64;6081;background;Gallons;interactive;ACT;false;system;2016-12-04 15:45:09;;2016-11-06 05:12:17
65;V4575;secured line;Milimmiter;archive;ACT;false;system;2016-08-30 02:49:11;;2016-05-25 10:24:43
66;9548;foreground;Centimmeter;eco-centric;ACT;false;system;2016-06-18 17:58:15;;2016-11-01 12:12:24
67;99653;holistic;Litter;initiative;ACT;false;system;2016-03-10 04:43:16;;2016-07-17 02:50:13
68;0521;process improvement;Gallons;optimizing;ACT;false;system;2016-01-12 14:13:47;;2016-04-17 09:46:49
69;E8522;Optional;Milimmiter;De-engineered;ACT;false;system;2016-04-13 05:20:59;;2016-02-17 14:41:58
70;E9413;migration;Centimmeter;executive;ACT;false;system;2016-06-26 00:56:55;;2016-06-07 17:42:11
71;0842;Persevering;Litter;Configurable;ACT;false;system;2016-01-18 10:18:38;;2016-06-23 12:38:33
72;01653;complexity;Gallons;Enhanced;ACT;false;system;2016-05-27 01:06:27;;2016-09-07 18:26:09
73;81103;Diverse;Milimmiter;fresh-thinking;ACT;false;system;2016-05-04 19:04:46;;2016-04-20 05:12:47
74;V0251;help-desk;Centimmeter;logistical;ACT;false;system;2016-01-15 06:19:29;;2016-02-19 22:39:06
75;79959;Realigned;Litter;content-based;ACT;false;system;2016-07-02 07:38:51;;2016-02-18 04:28:52
76;9584;customer loyalty;Gallons;intermediate;ACT;false;system;2016-05-11 09:42:17;;2016-05-24 18:53:40
77;80166;open architecture;Milimmiter;Persevering;ACT;false;system;2016-05-29 08:59:32;;2016-12-14 14:21:30
78;1948;Centralized;Centimmeter;explicit;ACT;false;system;2016-09-01 22:11:35;;2016-11-07 18:41:58
79;65951;Function-based;Litter;real-time;ACT;false;system;2016-09-14 03:36:35;;2016-07-28 07:56:33
80;80454;Total;Gallons;Advanced;ACT;false;system;2016-08-28 14:20:18;;2016-06-22 10:20:01
81;64393;Customizable;Milimmiter;portal;ACT;false;system;2016-07-26 06:25:00;;2016-11-09 06:10:50
82;63630;intermediate;Centimmeter;Implemented;ACT;false;system;2016-07-19 05:51:42;;2016-01-15 04:48:36
83;E8712;human-resource;Litter;Synergistic;ACT;false;system;2016-06-21 00:48:04;;2016-06-30 19:01:37
84;9982;orchestration;Gallons;utilisation;ACT;false;system;2016-07-03 04:29:23;;2016-10-30 20:51:52
85;3067;Seamless;Milimmiter;middleware;ACT;false;system;2016-07-15 01:59:43;;2016-09-18 19:50:12
86;71832;next generation;Centimmeter;object-oriented;ACT;false;system;2016-08-02 11:42:59;;2016-10-20 19:10:29
87;37741;zero tolerance;Litter;time-frame;ACT;false;system;2016-05-20 03:19:50;;2016-01-15 06:55:45
88;V112;encryption;Gallons;Inverse;ACT;false;system;2016-01-04 04:44:43;;2016-01-08 11:37:25
89;E8307;architecture;Milimmiter;success;ACT;false;system;2016-07-28 19:08:30;;2016-03-18 16:15:48
90;65953;help-desk;Centimmeter;alliance;ACT;false;system;2016-11-09 01:49:26;;2016-09-09 18:06:06
91;9192;asynchronous;Litter;capacity;ACT;false;system;2016-10-10 12:31:36;;2016-08-03 22:47:00
92;05329;responsive;Gallons;Cross-platform;ACT;false;system;2016-04-29 18:21:25;;2016-08-19 04:01:52
93;3319;upward-trending;Milimmiter;firmware;ACT;false;system;2016-05-04 03:54:35;;2016-10-06 01:25:38
94;47874;Face to face;Centimmeter;interactive;ACT;false;system;2016-06-05 06:13:44;;2016-07-08 18:51:29
95;76415;data-warehouse;Litter;hierarchy;ACT;false;system;2016-08-07 01:01:29;;2016-06-07 23:35:56
96;77981;hierarchy;Gallons;project;ACT;false;system;2016-11-03 15:37:01;;2016-12-24 09:13:47
97;20226;Front-line;Milimmiter;Pre-emptive;ACT;false;system;2016-02-08 20:53:12;;2016-02-28 06:26:22
98;64753;application;Centimmeter;ability;ACT;false;system;2016-05-20 12:48:30;;2016-05-30 07:53:05
99;5949;asymmetric;Litter;optimizing;ACT;false;system;2016-10-01 05:51:45;;2016-02-27 18:09:39
100;V518;hybrid;Gallons;toolset;ACT;false;system;2016-01-22 11:29:58;;2016-06-19 02:47:12
